title,publisher,setName,subSet,setCount,releaseDate,setYear,tcdbUrl,priceguideUrl,setType
2015 Topps Field Access - Adrenaline Rush Printing Plates Cyan,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127179/2015-Topps-Field-Access---Adrenaline-Rush-Printing-Plates-Cyan,,Football
2001 Donruss Elite - Primary Colors Red,,,,40,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12718/2001-Donruss-Elite---Primary-Colors-Red,,Baseball
2015 Topps Field Access - Adrenaline Rush Printing Plates Magenta,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127180/2015-Topps-Field-Access---Adrenaline-Rush-Printing-Plates-Magenta,,Football
2015 Topps Field Access - Adrenaline Rush Printing Plates Yellow,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127181/2015-Topps-Field-Access---Adrenaline-Rush-Printing-Plates-Yellow,,Football
2015 Topps Field Access - All Access Printing Plates Cyan,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127182/2015-Topps-Field-Access---All-Access-Printing-Plates-Cyan,,Football
2015 Topps Field Access - All Access Printing Plates Magenta,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127183/2015-Topps-Field-Access---All-Access-Printing-Plates-Magenta,,Football
2015 Topps Field Access - All Access Printing Plates Yellow,,,,50,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127184/2015-Topps-Field-Access---All-Access-Printing-Plates-Yellow,,Football
2015 Topps Field Access - Autographs Printing Plates Cyan,,,,186,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127185/2015-Topps-Field-Access---Autographs-Printing-Plates-Cyan,,Football
2015 Topps Field Access - Autographs Printing Plates Magenta,,,,186,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127186/2015-Topps-Field-Access---Autographs-Printing-Plates-Magenta,,Football
2015 Topps Field Access - Autographs Printing Plates Yellow,,,,186,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127187/2015-Topps-Field-Access---Autographs-Printing-Plates-Yellow,,Football
2015 Topps Supreme - Copper,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127188/2015-Topps-Supreme---Copper,,Football
2015 Topps Supreme - Gold,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127189/2015-Topps-Supreme---Gold,,Football
2001 Donruss Elite - Primary Colors Red Die Cut,,,,40,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12719/2001-Donruss-Elite---Primary-Colors-Red-Die-Cut,,Baseball
2015 Topps Supreme - Green,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127190/2015-Topps-Supreme---Green,,Football
2015 Topps Supreme - Printing Plates Black,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127191/2015-Topps-Supreme---Printing-Plates-Black,,Football
2015 Topps Supreme - Printing Plates Cyan,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127192/2015-Topps-Supreme---Printing-Plates-Cyan,,Football
2015 Topps Supreme - Printing Plates Magenta,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127193/2015-Topps-Supreme---Printing-Plates-Magenta,,Football
2015 Topps Supreme - Printing Plates Yellow,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127194/2015-Topps-Supreme---Printing-Plates-Yellow,,Football
2015 Topps Supreme - Red,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127195/2015-Topps-Supreme---Red,,Football
2015 Topps Supreme - Violet,,,,100,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127196/2015-Topps-Supreme---Violet,,Football
2015 Panini The National - NBA Draft Combine Materials,,,,2,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127197/2015-Panini-The-National---NBA-Draft-Combine-Materials,,Multi-Sport
2015 Panini The National - NBA Draft Combine Materials Cracked Ice,,,,2,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127198/2015-Panini-The-National---NBA-Draft-Combine-Materials-Cracked-Ice,,Multi-Sport
2015 Panini The National - NBA Draft Combine Materials Pyramid,,,,2,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127199/2015-Panini-The-National---NBA-Draft-Combine-Materials-Pyramid,,Multi-Sport
1998 Upper Deck Retro,,,,129,,1998,https://www.tcdb.com/ViewSet.cfm/sid/1272/1998-Upper-Deck-Retro,,Baseball
2001 Donruss Elite - Primary Colors Yellow,,,,40,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12720/2001-Donruss-Elite---Primary-Colors-Yellow,,Baseball
2015 Panini National Treasures - NFL Gear Quads,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127200/2015-Panini-National-Treasures---NFL-Gear-Quads,,Football
2015 Panini Father's Day - NBA Draft Combine Materials Cracked Ice,,,,9,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127201/2015-Panini-Father's-Day---NBA-Draft-Combine-Materials-Cracked-Ice,,Multi-Sport
2015 Panini Father's Day - NBA Draft Combine Materials Pyramid,,,,9,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127202/2015-Panini-Father's-Day---NBA-Draft-Combine-Materials-Pyramid,,Multi-Sport
2015 Panini National Treasures - NFL Gear Quads Brand Logo,,,,11,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127203/2015-Panini-National-Treasures---NFL-Gear-Quads-Brand-Logo,,Football
2015 Panini National Treasures - NFL Gear Quads Laundry Tag,,,,19,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127204/2015-Panini-National-Treasures---NFL-Gear-Quads-Laundry-Tag,,Football
2015 Panini National Treasures - NFL Gear Quads Prime,,,,13,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127205/2015-Panini-National-Treasures---NFL-Gear-Quads-Prime,,Football
2015 Panini National Treasures - NFL Gear Quads Prime Holo Silver,,,,16,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127206/2015-Panini-National-Treasures---NFL-Gear-Quads-Prime-Holo-Silver,,Football
2015 Topps Supreme - Autographed QB Playbooks,,,,11,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127207/2015-Topps-Supreme---Autographed-QB-Playbooks,,Football
2015 Topps Supreme - Dual Autograph Patch Book,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127208/2015-Topps-Supreme---Dual-Autograph-Patch-Book,,Football
2015 Topps Supreme - Dual Autograph Patch Book Red,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127209/2015-Topps-Supreme---Dual-Autograph-Patch-Book-Red,,Football
2001 Donruss Elite - Primary Colors Yellow Die Cut,,,,40,,2001,https://www.tcdb.com/ViewSet.cfm/sid/12721/2001-Donruss-Elite---Primary-Colors-Yellow-Die-Cut,,Baseball
2015 Topps Supreme - Dual Autographs,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127210/2015-Topps-Supreme---Dual-Autographs,,Football
2015 Topps Supreme - Dual Autographs Red,,,,40,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127211/2015-Topps-Supreme---Dual-Autographs-Red,,Football
2015 Topps Supreme - Inscription Autograph Booklet,,,,38,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127212/2015-Topps-Supreme---Inscription-Autograph-Booklet,,Football
2015 Topps Supreme - Quad Autographs,,,,13,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127213/2015-Topps-Supreme---Quad-Autographs,,Football
2015 Topps Supreme - Quad Autographs Red,,,,13,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127214/2015-Topps-Supreme---Quad-Autographs-Red,,Football
2015 Topps Supreme - Rookie Quad Combos Patches,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127215/2015-Topps-Supreme---Rookie-Quad-Combos-Patches,,Football
2015 Topps Supreme - Rookie Quad Combos Patches Gold,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127216/2015-Topps-Supreme---Rookie-Quad-Combos-Patches-Gold,,Football
2015 Topps Supreme - Rookie Quad Combos Patches Green,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127217/2015-Topps-Supreme---Rookie-Quad-Combos-Patches-Green,,Football
2015 Topps Supreme - Rookie Quad Combos Patches Red,,,,20,,2015,https://www.tcdb.com/ViewSet.cfm/sid/127218/2015-Topps-Supreme---Rookie-Quad-Combos-Patches-Red,,Football
